"DisplayName","AppId","ObjectId","ServicePrincipalType","AccountEnabled","CreatedDateTime","LastSignInDateTime","Owners","SignInAudience","HomepageURL","Tags","SecretExpiryDates","CertificateExpiryDates","ApiPermissions","AppRoleAssignments"
"Azure App Configuration","35ffadb3-7fc1-497e-b61b-381d28e744cc","dddb1c06-5808-4f46-a4d7-474f244efb10","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Storage","e406a681-f3d4-42a8-90b6-c2b029497af1","de77a74d-2a1e-4fa2-853b-cd7fa9cc12ac","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"AD Hybrid Health","6ea8091b-151d-447a-9013-6845b83ba57b","dfe249a4-c934-4c4b-bd93-7baee0dc605d","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Maps","ba1ea022-5807-41d5-bbeb-292c7e1cf5f6","dff636ec-d9ca-48b8-aac4-72b5223d8923","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Audit GraphAPI Application","4bfd5d66-9285-44a1-bb14-14953e8cdf5e","e0e16263-79c8-41e2-bf85-cf1a359994b5","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Office 365 Management APIs","c5393580-f805-4401-95e8-94b7a6ef2fc2","e18bb6dd-a14d-4180-a73b-6c3e08547b34","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure HDInsight on AKS Client","a6943a7f-5ba0-4a34-bf91-ab439efdda3f","e2130df9-a372-49a3-a725-a26cf0246ae5","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient; disableAcceptingTenantedPassthroughTokens; disableRequestingTenantedPassthroughTokens","None","None","None","None"
"azure-cli-TF-dep","b0a6d235-aa23-4815-a8cc-7c92154dfed4","e25abb6e-74ea-40eb-9e26-d76750290ed9","Application","True","Unknown","No sign-in found","No owners assigned","AzureADMyOrg",,"","None","None","Resource: b5f0913f-b0d4-4a60-b05a-818be46f7f9f | Scope: user.read","None"
"Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","e28d0b3b-e07d-4583-97f3-3a4cd992be77","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Iot Hub","89d10474-74af-4874-99a7-c23c2f643083","e28efd23-f30a-480b-b8af-791de8c4b556","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"OCaaS Experience Management Service","6e99704e-62d5-40f6-b2fe-90aafbe3a710","e326925d-e1e1-42a0-881b-bfe2fc7a75ba","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Graph","dbcbd02a-d7c4-42fb-8c27-b07e5118b848","e393eb74-7d09-4542-bfbe-d18b6fe7a10a","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Database Migration Service","8a769b1e-2a92-4131-b77d-d7f78399d4c6","e397e5d2-df67-4e76-8a6d-3f5c24057efc","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure SQL Managed Instance to Azure AD Resource Provider","9c8b80bc-6887-42d0-b1af-d0c40f9bf1fa","e3f4cdf7-89fe-4b17-a066-23b8afee5d37","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft AppPlat EMA","dee7ba80-6a55-4f3b-a86c-746a9231ae49","e40b8115-361c-4e1e-a1a9-cdd85b56b7bd","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"IDML Graph Resolver Service and CAD","d88a361a-d488-4271-a13f-a83df7dd99c2","e50392cc-c7b5-46c0-b64d-4d00d77669ef","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure AD Notification","fc03f97a-9db0-4627-a216-ec98ce54e018","e522dae2-d73f-49a4-83a6-c74ee6f6e886","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource","None","None","None","None"
"Azure Database for PostgreSQL Marlin","5ed8fe41-c1bc-4c06-a531-d91e1f1c2fac","e5cb9506-30e3-4754-bb0e-3111b4dfc13b","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Afdx Resource Provider","92b61450-2139-4e4a-a0cc-898eced7a779","e65efa01-87c9-4884-a013-6bc0912c1057","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
